make,avg_selling_price,avg_mmr,avg_pricing_gap,avg_pricing_gap_pct,pct_above_mmr,avg_vehicle_age,transaction_count
MAZDA,10228.57041847042,10334.264069264069,-105.69365079365079,-0.0012214852619924063,0.48528138528138526,15.683694083694084,6930
MERCEDES-BENZ,21314.872215876643,21632.17447173044,-317.3022558537978,0.0010464942552189768,0.4320388349514563,16.647130211307825,14008
MERCURY,3996.944621260344,4145.114576702737,-148.1699554423934,-0.02135877371894564,0.4341183959261617,20.88096753660089,1571
MINI,12389.426340801087,12460.132382892058,-70.70604209097081,-0.005084876525823044,0.49015614392396467,15.46673455532926,2946
MITSUBISHI,8035.456978967495,8151.2018574160065,-115.74487844851133,0.0048441877244304295,0.4785577711007921,16.73067467904944,3661
NISSAN,11745.442885362032,11856.737165951457,-111.29428058942398,-0.007925965541452428,0.4762845401085303,15.09665554117567,44043
OLDSMOBILE,953.7735849056604,1106.682389937107,-152.90880503144655,0.06659397096419965,0.3710691823899371,25.367924528301888,318
PLYMOUTH,11845.3125,13812.5,-1967.1875,-0.09730952751301129,0.25,26.9375,16
PONTIAC,3814.8646092583376,4009.6254355400697,-194.7608262817322,-0.05406525674531782,0.42234942757590843,20.20955699352912,4018
PORSCHE,38932.109766637856,39143.28003457217,-211.17026793431288,-0.0026001557947815395,0.4814174589455488,16.77960242005186,1157
RAM,25257.458209693374,25495.876607319486,-238.41839762611275,-0.009656942253533697,0.47477744807121663,13.202027695351138,4044
ROLLS-ROYCE,153456.25,154812.5,-1356.25,-0.0074301182445054795,0.375,14.875,16
SAAB,3616.346153846154,3739.7235576923076,-123.37740384615384,0.047554500222256206,0.4639423076923077,20.71153846153846,416
SATURN,3436.3813229571983,3563.7256809338523,-127.3443579766537,-0.004582574362464242,0.4501945525291829,20.63968871595331,2570
SCION,9736.213592233009,9808.349514563106,-72.13592233009709,-0.008830729996110084,0.4925566343042071,15.550161812297734,1545
SMART,6301.603498542274,6366.180758017493,-64.57725947521865,-0.004254366787557696,0.49271137026239065,14.384839650145773,343
SUBARU,15583.41817349508,15669.28358892195,-85.86541542687114,-0.0037344209599333446,0.47882810711833373,15.029068436713207,4369
SUZUKI,4009.7697031729786,3985.3633572159674,24.406345957011258,0.02975554334256047,0.5179119754350051,18.06448311156602,977
TESLA,67054.34782608696,67813.04347826086,-758.695652173913,-0.009863935707305925,0.43478260869565216,12.782608695652174,23
TOYOTA,12422.457197066236,12529.356044516184,-106.89884744994761,-0.004805664593407601,0.4674199303372696,15.86146744824852,35313
VOLKSWAGEN,9374.792022263451,9502.602040816326,-127.81001855287569,-0.007647531016378944,0.47430426716141,16.17207792207792,10780
VOLVO,10927.677482154446,11075.892277741727,-148.21479558728097,-0.00451129951330932,0.44873458792991566,18.08565866320571,3082
